Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
0,119,23587,1,198,1378,0.6268,0.8696,2.3541,0.4053,956972,0,-0.05,1,1.301,23,0.95,40,1358,226,956991,0.0,1132,1.2787,0.09519908696086399,1387,-0.1846,0.013,0.7037,27,86,0.0144
1,127,62357,1,491,441,0.9874,0.55,2.7993,0.3417,100250,0,0.8736,1,1.0414,20,0.1264,40,430,630,100337,1.0,950,1.9395,0.5308503942878144,1387,-0.2267,0.62,1.0,87,64,0.0079
2,126,31838,1,252,47,0.8952,0.6047,2.4487,0.5497,2867489,0,-0.0769,1,1.415,43,0.9231,40,21,281,2867513,0.0,580,1.3802,0.4988169585314852,1362,-0.1148,0.0308,0.8571,28,104,0.0191
3,126,11469,1,91,318,0.257,0.7222,2.017,0.2727,551913,0,-0.1539,1,1.1139,18,0.8461,100,305,104,551924,0.0,359,1.0414,0.5995934415226123,1360,-0.1384,0.4485,0.9167,12,97,0.0096
4,125,37930,1,303,1590,0.9708,0.2143,2.5705,0.5507,1208774,0,0.8261,1,1.0792,56,0.1739,90,1578,372,1208843,1.0,1085,1.8389,0.7449915257796885,1696,-0.2034,0.125,0.9857,70,77,0.0071
5,126,22478,1,178,1271,0.5822,0.4583,2.3181,0.4091,552783,0,0.6563,1,1.0414,24,0.3438,50,1260,208,552815,1.0,1083,1.5051,0.843322885761979,1350,-0.1557,0.117,1.0,32,84,0.0082
6,126,26419,1,209,402,0.5757,0.8571,2.3927,0.2902,2513153,0,0.5862,1,1.0792,14,0.4138,50,390,247,2513182,1.0,297,1.4624,0.8020258802735936,1387,-0.1644,0.5624,1.0,29,88,0.0087
7,127,610139,1,4804,196,1.0,0.6305,3.7698,0.3855,931074,0,-0.6115,1,2.1959,249,0.3885,40,39,5885,931135,0.0,1805,1.7853,0.6825881222168831,1358,-0.19,0.0574,0.4485,136,40,0.1156
8,117,5917,1,50,1130,0.2061,1.0,1.7559,0.43,2240686,1,-0.84,0,1.3979,25,0.16,80,1105,57,2240690,0.0,270,0.6021,0.05539540916426011,1364,-0.189,0.3431,0.5,8,92,0.0183
9,150,7281,1,48,833,0.2359,1.0,1.7708,0.5318,4104160,1,-0.9286,0,1.6233,42,0.0714,70,791,59,4104163,0.0,850,0.4771,0.1784417618218309,1690,-0.0359,0.9361,0.375,8,97,0.0248
10,93,67967,1,730,28,0.9997,0.0909,3.0682,0.2308,39680,0,0.9467,1,0.9542,99,0.0532,200,19,1170,39849,1.0,1361,2.2279,0.37673400787487643,1362,-0.5462,0.0279,0.9713,174,29,0.0066
11,119,8948,1,75,1410,0.215,0.6667,1.9294,0.213,5202306,0,0.6667,1,0.7782,9,0.3333,40,1404,85,5202324,1.0,1039,1.2553,0.12580701831228525,1627,-0.1776,0.2668,1.0,18,97,0.0037
